threshold,precision,recall,f1,accuracy,flagged,flag_rate,tp,fp,fn,tn,model,total_cost_pence,total_cost_gbp
0.82,0.5384615384615384,0.02119071644803229,0.040776699029126215,0.8372322899505766,39,0.006425041186161449,21,18,970,5061,logistic regression,15007810.4,150078.104
0.83,0.5135135135135135,0.01917255297679112,0.03696498054474708,0.8369028006589786,37,0.006095551894563427,19,18,972,5061,logistic regression,15015937.6,150159.376
0.84,0.5714285714285714,0.016145307769929364,0.03140333660451423,0.8373970345963756,28,0.004612850082372323,16,12,975,5067,logistic regression,15022110.4,150221.104
0.85,0.5833333333333334,0.014127144298688193,0.027586206896551724,0.8373970345963756,24,0.003953871499176277,14,10,977,5069,logistic regression,15028231.6,150282.316
0.86,0.65,0.013118062563067608,0.025717111770524232,0.8377265238879736,20,0.0032948929159802307,13,7,978,5072,logistic regression,15029286.2,150292.862
0.87,0.5882352941176471,0.010090817356205853,0.01984126984126984,0.8372322899505766,17,0.002800658978583196,10,7,981,5072,logistic regression,15041477.0,150414.77
0.88,0.6,0.009081735620585268,0.017892644135188866,0.8372322899505766,15,0.002471169686985173,9,6,982,5073,logistic regression,15044537.6,150445.376
0.89,0.5714285714285714,0.008072653884964682,0.015920398009950248,0.8370675453047776,14,0.0023064250411861617,8,6,983,5073,logistic regression,15048601.2,150486.012
0.9,0.5454545454545454,0.006054490413723511,0.011976047904191617,0.8369028006589786,11,0.001812191103789127,6,5,985,5074,logistic regression,15055725.4,150557.25400000002
0.91,0.5555555555555556,0.005045408678102927,0.01,0.8369028006589786,9,0.0014827018121911038,5,4,986,5075,logistic regression,15058786.0,150587.86
0.92,0.5555555555555556,0.005045408678102927,0.01,0.8369028006589786,9,0.0014827018121911038,5,4,986,5075,logistic regression,15058786.0,150587.86
0.93,0.8,0.004036326942482341,0.008032128514056224,0.8372322899505766,5,0.0008237232289950577,4,1,987,5078,logistic regression,15059840.6,150598.406
0.94,1.0,0.004036326942482341,0.008040201005025126,0.8373970345963756,4,0.0006589785831960461,4,0,987,5079,logistic regression,15058837.6,150588.376
0.95,1.0,0.004036326942482341,0.008040201005025126,0.8373970345963756,4,0.0006589785831960461,4,0,987,5079,logistic regression,15058837.6,150588.376
0.96,1.0,0.0030272452068617556,0.006036217303822937,0.8372322899505766,3,0.0004942339373970346,3,0,988,5079,logistic regression,15062901.2,150629.012
0.97,1.0,0.0010090817356205853,0.0020161290322580645,0.8369028006589786,1,0.00016474464579901152,1,0,990,5079,logistic regression,15071028.4,150710.284
0.98,0.0,0.0,0.0,0.8367380560131795,0,0.0,0,0,991,5079,logistic regression,15075092.0,150750.92
0.99,0.0,0.0,0.0,0.8367380560131795,0,0.0,0,0,991,5079,logistic regression,15075092.0,150750.92
0.01,0.17488305145735877,0.9808274470232089,0.2968392120934494,0.2413509060955519,5558,0.9156507413509061,972,4586,19,493,lightgbm (cpu),15725030.799999999,157250.308
0.02,0.18800712448050663,0.958627648839556,0.314361350099272,0.31729818780889624,5053,0.8324546952224052,950,4103,41,976,lightgbm (cpu),15329981.0,153299.81
0.03,0.20122350884859078,0.929364278506559,0.3308189655172414,0.386161449752883,4577,0.7540362438220758,921,3656,70,1423,lightgbm (cpu),14999484.399999999,149994.84399999998
0.04,0.2173076923076923,0.9122098890010091,0.3509998058629392,0.44925864909390445,4160,0.685337726523888,904,3256,87,1823,lightgbm (cpu),14667365.6,146673.656
0.05,0.22923156801661473,0.8910191725529768,0.3646500103241792,0.4930807248764415,3852,0.6345963756177925,883,2969,108,2110,lightgbm (cpu),14464840.2,144648.402
0.06,0.2398101619207147,0.8668012108980827,0.3756833588453969,0.5296540362438221,3582,0.5901153212520593,859,2723,132,2356,lightgbm (cpu),14315628.6,143156.286
0.07,0.24793144208037826,0.8466195761856711,0.38354285714285713,0.5556836902800659,3384,0.557495881383855,839,2545,152,2534,lightgbm (cpu),14218366.6,142183.666
0.08,0.25892011367224504,0.82744702320888,0.3944203944203944,0.585172981878089,3167,0.5217462932454695,820,2347,171,2732,lightgbm (cpu),14096981.0,140969.81
0.09,0.2661990647962592,0.8042381432896064,0.4,0.6060955518945634,2994,0.4932454695222405,797,2197,194,2882,lightgbm (cpu),14039993.799999999,140399.938
0.1,0.2738221749911442,0.7800201816347124,0.40534871525957,0.6263591433278418,2823,0.4650741350906096,773,2050,218,3029,lightgbm (cpu),13990079.2,139900.792
